amt,zip,lat,long,genders,Essentials,Leisure,Wellness,Other,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,transaction_id,card_id,transaction_date,amount,merchant,merchant_category,city,country,card_present,transaction_type,ip_address,device_id,is_fraud,suspicious_note
57.44,59710,45.1939,-112.0568,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:51:22,26.57,TravelWings,travel,,,0,online,184.122.153.101,fubpvyca50dv,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
8.93,6024,42.0158,-73.2913,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-02 04:12:20,24.62,FashionHub,clothing,,,0,online,15.165.245.84,e4btwhwbdfce,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
8.93,6024,42.0158,-73.2913,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-09-15 20:14:49,2.21,GadgetZone,electronics,,,0,online,195.134.245.238,p6655rb44szj,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
2.48,33809,28.1762,-81.9591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:49:59,26.43,ElectroMart,electronics,,,0,online,96.92.50.66,x8zc2lja58jk,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
2.48,33809,28.1762,-81.9591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:55:16,82.31,ElectroMart,electronics,,,0,online,87.123.117.117,ok9rwx9ui9av,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
133.79,15834,41.5177,-78.2536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-04 03:34:53,2.94,OnlineBooks,books,,,0,online,237.2.182.118,9locet4w0gvw,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
133.79,15834,41.5177,-78.2536,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-19 14:49:42,5811.61,GadgetZone,electronics,,,0,online,153.237.203.30,zcxs9ufa8o0d,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
39.8,71762,33.3398,-92.7442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-25 13:25:43,51.68,FashionHub,clothing,,,0,online,213.233.182.3,lg0juva3b10e,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
39.8,71762,33.3398,-92.7442,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:51:27,165.32,LuxuryBoutique,luxury,,,0,online,86.228.3.130,8fyvb2ouaty8,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
76.91,41810,37.1788,-82.695,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-28 01:09:59,69.54,LuxuryBoutique,luxury,,,0,online,63.215.102.194,w86lah35qwiv,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
76.91,41810,37.1788,-82.695,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2025-10-25 13:52:02,85.26,GadgetZone,electronics,,,0,online,242.164.179.145,qx396iq6khw5,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
8.39,75858,31.3833,-95.0619,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:50:14,5261.84,OnlineBooks,books,,,0,in-store,160.25.118.27,9oqkrqkt81xf,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
8.39,75858,31.3833,-95.0619,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2025-10-25 13:54:51,10153.66,TravelWings,travel,,,0,online,133.230.158.203,rgbsd30z6eka,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
94.01,39073,32.153,-90.1217,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-13 08:47:15,85.78,ElectroMart,electronics,,,0,online,102.140.119.39,s551bfbhn76l,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
94.01,39073,32.153,-90.1217,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2025-10-25 13:59:40,13179.8,LuxuryBoutique,luxury,,,0,in-store,174.12.213.122,5k9vb7cq6yfs,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
122.82,75703,32.2768,-95.3031,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:58:01,58.55,OnlineBooks,books,,,0,online,217.134.202.84,i8nplxi5vao9,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
122.82,75703,32.2768,-95.3031,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2025-10-25 13:54:24,29.7,MegaGrocers,retail,,,0,online,196.221.87.237,8xko16q8repj,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
2.8,12419,41.8467,-74.1038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:57:53,4.55,TravelWings,travel,,,0,online,99.125.120.47,d3rg7qnqz61o,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
2.8,12419,41.8467,-74.1038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:50:30,157.7,ElectroMart,electronics,,,0,online,151.246.228.234,fya5opehzre3,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
13.5,45342,39.6321,-84.2675,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-09-29 20:32:28,181.78,OnlineBooks,books,,,0,online,137.159.72.22,bmcwfaj6sevl,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
13.5,45342,39.6321,-84.2675,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-22 23:24:24,147.81,FashionHub,clothing,,,0,online,95.137.202.167,nftphqcg0yit,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
89.71,12910,44.8816,-73.6408,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-02 21:19:56,91.07,OnlineBooks,books,,,0,online,154.179.172.69,0m1y0z1qt5aa,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
89.71,12910,44.8816,-73.6408,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2025-10-25 13:58:07,124.7,OnlineBooks,books,,,0,online,148.162.200.122,dhs9b0pi0nzn,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
55.51,25526,38.4257,-81.9943,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:53:24,243.84,ElectroMart,electronics,,,0,online,77.254.165.16,xx1trisyjzkq,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
55.51,25526,38.4257,-81.9943,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2025-10-27 02:37:23,1.09,LuxuryBoutique,luxury,,,0,online,102.64.164.169,3y54ax9iglav,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
35.8,99323,46.1966,-118.9017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,2025-10-25 13:59:31,92.62,TravelWings,travel,,,0,online,247.174.81.183,2v3l25e9uwwp,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
35.8,99323,46.1966,-118.9017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,2025-09-27 04:43:46,127.41,OnlineBooks,books,,,0,online,228.226.229.77,ki71luo3edv3,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
7.91,5733,43.8065,-73.0882,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,2025-08-02 07:15:03,242.58,MegaGrocers,retail,,,0,online,221.58.113.76,w6ar01jcvlyt,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
7.91,5733,43.8065,-73.0882,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,2025-10-13 01:54:00,76.55,OnlineBooks,books,,,0,online,152.25.226.69,jq6t89k63lby,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
11.73,56546,47.0999,-96.727,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:58:38,21.58,FashionHub,clothing,,,0,online,158.128.68.193,3zagkv1hsctc,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
11.73,56546,47.0999,-96.727,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:57:17,163.45,TravelWings,travel,,,0,online,29.10.168.40,22q4hibyhchd,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
3.82,90250,33.9143,-118.3493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-04 21:51:16,33.8,ElectroMart,electronics,,,0,online,91.163.42.122,ig6x7frljdmd,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
3.82,90250,33.9143,-118.3493,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-08-04 19:18:00,88.81,LuxuryBoutique,luxury,,,0,online,213.40.92.46,rwo8qh7je07s,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
8.79,53801,42.9207,-91.0685,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,2025-10-25 13:58:46,207.83,TravelWings,travel,,,0,online,42.235.85.130,gqbxsujkuzif,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
8.79,53801,42.9207,-91.0685,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-09-10 08:44:45,26.95,OnlineBooks,books,,,0,online,247.229.115.101,rtdf1dpsftgr,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
71.36,4287,44.0575,-69.9656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,2025-10-15 22:03:07,32.06,LuxuryBoutique,luxury,,,0,online,16.36.134.15,pfu5f42v9mv4,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
71.36,4287,44.0575,-69.9656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2025-10-25 13:58:35,96.45,MegaGrocers,retail,,,0,online,115.215.238.89,u3ya9qnth9ta,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
103.65,78584,26.4215,-99.0025,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2025-10-25 13:50:25,26.77,FashionHub,clothing,,,0,online,78.30.150.232,vp5gdmaydu8g,1,"auto-labeled: all fraudulent - patterns injected (online, card_not_present, bursts, unusual amounts, random IPs)"
